1,2,3,4,5,6,7,8,9,10
3.3987581423335135e-78,9.494859657444859e-49,2.0214477622701318e-31,6.391548675190061e-25,1.556561906687954e-27,4.018208173804187e-37,1.941063481239465e-51,1.3630753894202234e-68,2.0619412405400955e-87,1.0226449958505462e-107
3.000528397877125e-53,5.510246194980979e-29,3.807571881506953e-17,1.1605042321045802e-16,1.2247604175110074e-25,3.134831423393723e-41,3.2167926598320173e-60,6.232131575696864e-80,1.1574152240162438e-98,8.375178260689962e-116
9.712427111914434e-39,3.724353436474625e-19,2.0927136570360298e-12,3.3721612583491468e-18,1.2520405637238812e-34,8.72547257481624e-58,9.517022121571438e-83,6.910987083018813e-106,3.4883112686415297e-125,6.899211390806998e-139
4.9055208045021463e-33,1.2545132624864247e-16,1.2076744171333814e-13,2.1387957045703763e-25,2.720481141382845e-50,4.09783494130629e-83,2.630434433026264e-115,3.2371755676081436e-142,1.64233999714177e-163,9.90921686038285e-175
1.2688757214438697e-34,2.9736539760135845e-17,3.0689847637831e-16,1.2900830294778127e-32,1.940016747295248e-65,1.1186002465466984e-110,1.3262679313298128e-150,3.391313813366675e-179,4.2562802940456925e-204,1.6582282267418434e-219
1.4962737075504081e-31,1.1281637027093385e-15,6.692770140964656e-16,2.878137881801557e-34,2.1686339695092663e-70,8.916420120916456e-121,6.7241893901241256e-164,1.640583091072223e-200,7.995147263732605e-230,2.502968845583713e-233
3.648121366224074e-26,3.7247894281066815e-11,2.4297992077816005e-11,3.0058602945322048e-28,4.028552469793509e-61,7.180061962307031e-106,5.8076115560514085e-148,1.309246190553535e-183,1.627869975976565e-206,4.48193191782032e-209
1.8808146426450276e-22,9.037939330395489e-07,7.044447995521054e-05,2.1433895192846495e-17,8.548842861544441e-43,2.0030972126630347e-76,7.902334390679088e-111,3.4449841400207106e-140,1.15912853981413e-159,4.0671379650607724e-166
4.5732000199072487e-26,8.877478963580049e-07,0.9914629499455367,2.863280533999096e-07,1.8580200947463436e-24,1.30743842410211e-48,6.750119420306338e-75,7.71157150686799e-99,3.523868880758378e-117,6.453350856778837e-129
1.6274069660967053e-38,2.085211521748244e-14,0.004910575972337042,0.003553951667784094,7.21382577633104e-13,2.885273405597452e-29,5.0520444771218136e-49,4.612361158921774e-69,2.3709494782057563e-87,1.2726425239418317e-103
